iter	Passed	Remaining
833	9402	1871
834	9411	1859
835	9418	1847
836	9428	1836
837	9436	1824
838	9446	1812
839	9454	1800
840	9464	1789
841	9471	1777
842	9480	1765
843	9488	1753
844	9497	1742
845	9504	1730
846	9513	1718
847	9520	1706
848	9529	1694
849	9537	1683
850	9545	1671
851	9553	1659
852	9563	1648
853	9571	1636
854	9580	1624
855	9587	1612
856	9597	1601
857	9604	1589
858	9613	1578
859	9621	1566
860	9629	1554
861	9638	1543
862	9646	1531
863	9653	1519
864	9663	1508
865	9673	1496
866	9680	1485
867	9690	1473
868	9702	1462
869	9712	1451
870	9724	1440
871	9735	1429
872	9748	1418
873	9758	1406
874	9770	1395
875	9782	1384
876	9794	1373
877	9811	1363
878	9830	1353
879	9842	1342
880	9853	1330
881	9862	1319
882	9873	1308
883	9884	1297
884	9895	1285
885	9905	1274
886	9915	1263
887	9925	1251
888	9936	1240
889	9945	1229
890	9957	1218
891	9969	1207
892	9980	1195
893	9991	1184
894	10001	1173
895	10026	1163
896	10039	1152
897	10050	1141
898	10071	1131
899	10082	1120
900	10093	1109
901	10104	1097
902	10116	1086
903	10125	1075
904	10137	1064
905	10150	1053
906	10160	1041
907	10170	1030
908	10179	1019
909	10187	1007
910	10196	996
911	10206	984
912	10215	973
913	10223	961
914	10233	950
915	10240	939
916	10250	927
917	10257	916
918	10266	904
919	10274	893
920	10283	882
921	10290	870
922	10299	859
923	10306	847
924	10316	836
925	10324	825
926	10334	813
927	10344	802
928	10353	791
929	10362	779
930	10369	768
931	10378	757
932	10385	745
933	10395	734
934	10404	723
935	10414	712
936	10422	700
937	10430	689
938	10439	678
939	10447	666
940	10456	655
941	10464	644
942	10475	633
943	10483	621
944	10492	610
945	10500	599
946	10509	588
947	10516	576
948	10525	565
949	10534	554
950	10543	543
951	10552	532
952	10566	521
953	10578	510
954	10588	498
955	10597	487
956	10608	476
957	10615	465
958	10625	454
959	10633	443
960	10643	431
961	10651	420
962	10661	409
963	10670	398
964	10678	387
965	10687	376
966	10695	364
967	10704	353
968	10712	342
969	10722	331
970	10730	320
971	10739	309
972	10747	298
973	10756	287
974	10765	276
975	10773	264
976	10782	253
977	10791	242
978	10801	231
979	10810	220
980	10825	209
981	10834	198
982	10844	187
983	10855	176
984	10864	165
985	10873	154
986	10883	143
987	10891	132
988	10902	121
989	10910	110
990	10920	99
991	10929	88
992	10937	77
993	10945	66
994	10954	55
995	10963	44
996	10971	33
997	10980	22
998	10989	11
999	10998	0
